Site_Name,Stream_Name ,Site_Number,Date_Collected,Sample_Type, Kyle_Sample_ID,Running_Number,L_Volume,Vial_Volume,Concentration_Factor ,13-C3_Caffeine,Acetaminophen,Amoxicillin,Ampicillin,Atenolol_MRT,Caffeine,Buspirone,Bifenthrin,Beta_cyfluthrin,Benzophenone_3,Benzophenone_1,Atrazine,Carbamazepine_A,Carbaryl,Chlortetracycline,Erythromycin,DEET,Cyhalothrin,Clothianidin,Clarithromycin,Citalopram,Chlortetracycline,Chlorpyrifos,Esfenvalerate_UNCONF,Fluoxetine,Glyphosate_ND,Ibuprofen_UNCONF,Imidacloprid,Ketoprofen,Malathion,Erythromycin,Metformin,Metoprolol_MRT,Naproxen,Ofloxacin,Oxytetracycline,Sulfadiazine,Sucralose,Simazine,Permethrin,Sulfadimethoxine,Sulfamethazine,Sulfamethoxazole,Tetracycline,Theobromine,Thiamethoxam_d3,Thiamethoxam,Thiacloprid,Trimethoprim_MRT,4_t_Octylphenol,Venlafaxine,Nitrate,N_Blank,TotalN,Nutrient_Sample_ID,TotalP,T_Blank,Total_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag_Progress_Days ,Spruce_Creek,1,6032021,Grab,131-TVFF21,TVFF21-001,938.7,0.632490518,1484.132921,NA,0.0003,NA,NA,NA,0.0107,NA,NA,NA,0.002,0.0002,0.006,0.0001,0.0001,NA,0.0001,0.0005,NA,0.0002,0.0007,0.0019,NA,0.0046,0.0002,0.0014,NA,0.0386,NA,0,0.0001,0.0001,0.0004,0,NA,0.0031,NA,0,NA,0.0001,0.0001,0.0001,NA,NA,NA,0.001,NA,NA,0.0001,0.0003,NA,0.0001,0.72,0.02,1.05,TVFF21-001,0.028,0.01,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Spruce_Creek_Church ,Spruce_Creek,2,6032021,Grab,132-TVFF21,TVFF21-002,629,0.894184576,703.4341867,NA,0.0003,NA,NA,NA,0.0143,NA,NA,NA,0.0009,0,0.0581,0.0004,0.0006,NA,0,0.0013,NA,0.0034,0,0.0003,NA,0.0009,NA,0,NA,0.0119,0,0,0,0,0.0003,NA,0.0011,0.0015,NA,0,NA,0.0003,NA,0,NA,0,NA,0.0049,NA,NA,NA,0.0005,NA,0,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George_W_Harvey,Spruce_Creek,3,6032021,Grab,133-TVFF21,TVFF21-003,987.3,0.887231353,1112.787546,NA,0.0001,NA,NA,NA,0.0046,NA,NA,NA,0.001,0,0.0187,0.0002,0.0001,NA,NA,0.0004,NA,0.0012,NA,NA,NA,0.0008,NA,0,NA,0.0899,0,NA,0,NA,0.0004,NA,NA,NA,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,0.0008,NA,NA,NA,0.0002,NA,NA,2.47,0.02,3.69,TVFF21-003,0.065,0.01,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,4,6032021,Grab,134-TVFF21,TVFF21-004,905.7,0.549557522,1648.05314,NA,0.0019,NA,NA,NA,0.1855,NA,NA,NA,0.0026,0.0001,0.0403,0.0002,0.0005,NA,0,0.0018,NA,0.0029,NA,NA,NA,0,NA,0,NA,0.0076,0,0,0,0,0.0022,NA,0.0023,0.2401,NA,NA,NA,0.0004,NA,NA,NA,NA,NA,0.0072,NA,NA,NA,0.0001,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,5,6032021,Grab,135-TVFF21,TVFF21-005,957.5,0.71011378,1348.375467,NA,NA,NA,NA,NA,0.005,NA,NA,NA,0,0,NA,0.0005,0,0.2038,NA,0.0003,NA,0.0089,NA,0.0001,0.2038,NA,NA,0,NA,NA,0.0003,0.0001,NA,NA,0.0019,NA,0.0006,NA,NA,NA,NA,0.0007,NA,NA,NA,NA,NA,0.0009,NA,NA,NA,0.0005,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith_Nelson,Warriors_Mark_Run ,6,6032021,Grab,136-TVFF21,TVFF21-006,943.9,1.071302149,881.0772954,NA,NA,NA,NA,NA,0.0043,NA,NA,NA,0.0008,0,0.0619,NA,0.0001,0.204,0,0.0002,NA,0.0061,NA,NA,0.204,0.0001,NA,0,NA,0.0039,0.0003,NA,NA,0,0.0009,NA,NA,0.2401,NA,NA,NA,0.0004,NA,NA,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,7,6032021,Grab,137-TVFF21,TVFF21-007,941.1,0.835018963,1127.040273,NA,0.0001,NA,NA,NA,0.0062,NA,NA,NA,0.0013,0,NA,0.0029,0.0007,0.2039,NA,0.0003,NA,0.0005,NA,0,0.2039,NA,NA,0,NA,0.0365,0,0,0,NA,0.0003,NA,0.0014,NA,NA,NA,0.0005,0.0005,NA,0,NA,NA,NA,0.0023,NA,NA,0,0.0004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loville,Halfmoon_Creek ,8,6032021,Grab,138-TVFF21,TVFF21-009,944.1,0.981921618,961.4820396,NA,0.0001,NA,NA,NA,0.0052,NA,NA,NA,0.0001,NA,NA,0,0.0001,NA,NA,0.0003,NA,0.0186,NA,NA,NA,0.0001,NA,NA,NA,0.0627,NA,0.0001,NA,NA,0,NA,0.0006,NA,NA,NA,NA,0.0007,NA,NA,NA,NA,NA,0.0026,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,9,6032021,Grab,139-TVFF21,TVFF21-008,914,0.849936789,1075.374089,NA,0.0014,NA,NA,NA,0.0253,NA,NA,NA,0.0018,0.0001,NA,0.002,0.0004,NA,NA,0.0007,NA,0.0027,NA,0.0001,NA,NA,NA,0,NA,0.0734,NA,0,NA,NA,NA,NA,0.0005,NA,NA,NA,NA,0.0007,NA,NA,NA,NA,NA,0.0024,NA,NA,NA,0.0002,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag_Progress_Days ,Spruce_Creek,1,6172021,Grab,140-TVFF21,TVFF21-010,1046.2,0.879266751,1189.855068,NA,0.0003,NA,NA,NA,0.004,NA,NA,NA,0.0009,NA,0.0028,NA,0.0002,NA,NA,0.0009,NA,0,NA,NA,NA,NA,NA,NA,NA,0.0784,NA,0,NA,NA,NA,NA,0.0003,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,1.09,0.02,1.61,TVFF21-010,0.109,0.01,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
