Site_Name,Stream_Name ,Site_Number,Date_Collected,Sample_Type, Sample_ID,Running_Number,L_Volume,Vial_Volume,Concentration_Factor ,Nitrate,N_Blank,TotalN,Nutrient_Sample_ID,TotalP,T_Blank,Total_P,13-C3_Caffeine,Acetaminophen,Amoxicillin,Ampicillin,Atenolol_MRT,Caffeine,Buspirone,Bifenthrin,Beta_cyfluthrin,Benzophenone_3,Benzophenone_1,Atrazine,Carbamazepine_A,Carbaryl,Chlortetracycline,Erythromycin,DEET,Cyhalothrin,Clothianidin,Clarithromycin,Citalopram,Chlortetracycline,Chlorpyrifos,Esfenvalerate_UNCONF,Fluoxetine,Glyphosate_ND,Ibuprofen_UNCONF,Imidacloprid,Ketoprofen,Malathion,Erythromycin,Metformin,Metoprolol_MRT,Naproxen,Ofloxacin,Oxytetracycline,Sulfadiazine,Sucralose,Simazine,Permethrin,Sulfadimethoxine,Sulfamethazine,Sulfamethoxazole,Tetracycline,Theobromine,Thiamethoxam_d3,Thiamethoxam,Thiacloprid,Trimethoprim_MRT,4_t_Octylphenol,Venlafaxine
Ag_Progress_Days ,Spruce_Creek,1,6032021,Grab,131-TVFF21,TVFF21-001,938.7,0.632490518,1484.132921,0.72,0.02,1.05,TVFF21-001,0.028,0.01,0.033,NA,2.02138E-07,NA,NA,NA,7.2096E-06,NA,NA,NA,1.34759E-06,1.34759E-07,4.04276E-06,6.73794E-08,6.73794E-08,NA,6.73794E-08,3.36897E-07,NA,1.34759E-07,4.71656E-07,1.28021E-06,NA,3.09945E-06,1.34759E-07,9.43312E-07,NA,2.60085E-05,NA,0,6.73794E-08,6.73794E-08,2.69518E-07,0,NA,2.08876E-06,NA,0,NA,6.73794E-08,6.73794E-08,6.73794E-08,NA,NA,NA,6.73794E-07,NA,NA,6.73794E-08,2.02138E-07,NA,6.73794E-08
Upper_Spruce_Creek_Church ,Spruce_Creek,2,6032021,Grab,132-TVFF21,TVFF21-002,629,0.894184576,703.4341867,NA,NA,NA,NA,NA,NA,NA,NA,4.26479E-07,NA,NA,NA,2.03288E-05,NA,NA,NA,1.27944E-06,0,8.25948E-05,5.68639E-07,8.52958E-07,NA,0,1.84808E-06,NA,4.83343E-06,0,4.26479E-07,NA,1.27944E-06,NA,0,NA,1.6917E-05,0,0,0,0,4.26479E-07,NA,1.56376E-06,2.1324E-06,NA,0,NA,4.26479E-07,NA,0,NA,0,NA,6.96583E-06,NA,NA,NA,7.10799E-07,NA,0
George_W_Harvey,Spruce_Creek,3,6032021,Grab,133-TVFF21,TVFF21-003,987.3,0.887231353,1112.787546,2.47,0.02,3.69,TVFF21-003,0.065,0.01,0.087,NA,8.98644E-08,NA,NA,NA,4.13376E-06,NA,NA,NA,8.98644E-07,0,1.68046E-05,1.79729E-07,8.98644E-08,NA,NA,3.59458E-07,NA,1.07837E-06,NA,NA,NA,7.18915E-07,NA,0,NA,8.07881E-05,0,NA,0,NA,3.59458E-07,NA,NA,NA,NA,NA,NA,2.69593E-07,NA,NA,NA,NA,NA,7.18915E-07,NA,NA,NA,1.79729E-07,NA,NA
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,4,6032021,Grab,134-TVFF21,TVFF21-004,905.7,0.549557522,1648.05314,NA,NA,NA,NA,NA,NA,NA,NA,1.15288E-06,NA,NA,NA,0.000112557,NA,NA,NA,1.57762E-06,6.06777E-08,2.44531E-05,1.21355E-07,3.03388E-07,NA,0,1.0922E-06,NA,1.75965E-06,NA,NA,NA,0,NA,0,NA,4.6115E-06,0,0,0,0,1.33491E-06,NA,1.39559E-06,0.000145687,NA,NA,NA,2.42711E-07,NA,NA,NA,NA,NA,4.36879E-06,NA,NA,NA,6.06777E-08,NA,NA
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,5,6032021,Grab,135-TVFF21,TVFF21-005,957.5,0.71011378,1348.375467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.70817E-06,NA,NA,NA,0,0,NA,3.70817E-07,0,0.000151145,NA,2.2249E-07,NA,6.60054E-06,NA,7.41633E-08,0.000151145,NA,NA,0,NA,NA,2.2249E-07,7.41633E-08,NA,NA,1.4091E-06,NA,4.4498E-07,NA,NA,NA,NA,5.19143E-07,NA,NA,NA,NA,NA,6.6747E-07,NA,NA,NA,3.70817E-07,NA,NA
Keith_Nelson,Warriors_Mark_Run ,6,6032021,Grab,136-TVFF21,TVFF21-006,943.9,1.071302149,881.0772954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.88039E-06,NA,NA,NA,9.07979E-07,0,7.02549E-05,NA,1.13497E-07,0.000231535,0,2.26995E-07,NA,6.92334E-06,NA,NA,0.000231535,1.13497E-07,NA,0,NA,4.4264E-06,3.40492E-07,NA,NA,0,1.02148E-06,NA,NA,0.000272507,NA,NA,NA,4.5399E-07,NA,NA,NA,NA,NA,3.40492E-07,NA,NA,NA,NA,NA,NA
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,7,6032021,Grab,137-TVFF21,TVFF21-007,941.1,0.835018963,1127.040273,NA,NA,NA,NA,NA,NA,NA,NA,8.8728E-08,NA,NA,NA,5.50113E-06,NA,NA,NA,1.15346E-06,0,NA,2.57311E-06,6.21096E-07,0.000180916,NA,2.66184E-07,NA,4.4364E-07,NA,0,0.000180916,NA,NA,0,NA,3.23857E-05,0,0,0,NA,2.66184E-07,NA,1.24219E-06,NA,NA,NA,4.4364E-07,4.4364E-07,NA,0,NA,NA,NA,2.04074E-06,NA,NA,0,3.54912E-07,NA,NA
Loville,Halfmoon_Creek ,8,6032021,Grab,138-TVFF21,TVFF21-009,944.1,0.981921618,961.4820396,NA,NA,NA,NA,NA,NA,NA,NA,1.04006E-07,NA,NA,NA,5.40832E-06,NA,NA,NA,1.04006E-07,NA,NA,0,1.04006E-07,NA,NA,3.12018E-07,NA,1.93451E-05,NA,NA,NA,1.04006E-07,NA,NA,NA,6.52118E-05,NA,1.04006E-07,NA,NA,0,NA,6.24037E-07,NA,NA,NA,NA,7.28043E-07,NA,NA,NA,NA,NA,2.70416E-06,NA,NA,NA,3.12018E-07,NA,NA
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,9,6032021,Grab,139-TVFF21,TVFF21-008,914,0.849936789,1075.374089,NA,NA,NA,NA,NA,NA,NA,NA,1.30187E-06,NA,NA,NA,2.35267E-05,NA,NA,NA,1.67384E-06,9.29909E-08,NA,1.85982E-06,3.71964E-07,NA,NA,6.50936E-07,NA,2.51075E-06,NA,9.29909E-08,NA,NA,NA,0,NA,6.82553E-05,NA,0,NA,NA,NA,NA,4.64954E-07,NA,NA,NA,NA,6.50936E-07,NA,NA,NA,NA,NA,2.23178E-06,NA,NA,NA,1.85982E-07,NA,NA
Ag_Progress_Days ,Spruce_Creek,1,6172021,Grab,140-TVFF21,TVFF21-010,1046.2,0.879266751,1189.855068,1.09,0.02,1.61,TVFF21-010,0.109,0.01,0.154,NA,2.52132E-07,NA,NA,NA,3.36175E-06,NA,NA,NA,7.56395E-07,NA,2.35323E-06,NA,1.68088E-07,NA,NA,7.56395E-07,NA,0,NA,NA,NA,NA,NA,NA,NA,6.58904E-05,NA,0,NA,NA,NA,NA,2.52132E-07,NA,NA,0,NA,0,NA,NA,NA,NA,NA,1.68088E-06,NA,NA,NA,NA,NA,NA
Upper_Spruce_Creek_Church ,Spruce_Creek,2,6172021,Grab,141-TVFF21,TVFF21-011,1003.1,0.948419722,1057.654092,2.39,0.02,3.56,TVFF21-011,0.143,0.01,0.205,NA,NA,NA,NA,NA,2.64737E-06,NA,NA,NA,7.56391E-07,0,7.28026E-06,7.56391E-07,1.89098E-07,NA,NA,2.83647E-07,NA,3.78195E-07,NA,NA,NA,NA,NA,NA,NA,4.16961E-05,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,1.89098E-07,NA,0,NA,0,NA,7.56391E-07,NA,NA,NA,NA,NA,NA
George_W_Harvey,Spruce_Creek,3,6172021,Grab,142-TVFF21,TVFF21-012,1001.8,0.859924147,1164.986474,2.57,0.02,3.83,TVFF21-012,0.119,0.01,0.168,NA,8.58379E-08,NA,NA,NA,3.09016E-06,NA,NA,NA,7.72541E-07,0,5.57946E-06,4.2919E-07,2.57514E-07,NA,NA,5.15027E-07,NA,5.15027E-07,NA,NA,NA,0,NA,0,NA,6.04299E-05,NA,0,0,NA,1.71676E-07,NA,NA,NA,NA,NA,NA,2.57514E-07,8.58379E-08,0,NA,NA,NA,1.45924E-06,NA,NA,NA,NA,NA,NA
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,4,6172021,Grab,143-TVFF21,TVFF21-013,1008.7,0.904804046,1114.827022,2.69,0.02,4.01,TVFF21-013,0.089,0.01,0.123,NA,8.97E-08,NA,NA,NA,1.2558E-06,NA,NA,NA,7.176E-07,0,6.5481E-06,1.794E-07,4.485E-07,NA,NA,1.794E-07,NA,5.382E-07,NA,NA,NA,NA,NA,0,NA,8.42283E-05,NA,0,0,NA,1.794E-07,NA,NA,NA,NA,NA,NA,2.691E-07,8.97E-08,1.794E-07,NA,NA,NA,8.97E-08,NA,NA,NA,NA,NA,NA
